color,taxa
#28078C,Acidobacteria
#4F79A2,Actinobacteria
#006024,Alphaproteobacteria
#79791F,Asgardarchaeota
#560C00,Bacteroidetes
#7F3E51,Betaproteobacteria
#731346,Chlorobi
#843A77,Chloroflexi
#1D1D1D,Ciliophora
#BE9804,Cyanobacteria
#684770,Deltaproteobacteria
#C06704,Elusimicrobia
#686867,Epsilonproteobacteria
#BD6B88,Euryarchaeota
#025285,Fibrobacteres
#CC6F55,Firmicutes
#4C4072,Gammaproteobacteria
#C18207,Gemmatimonadetes
#853F56,Margulisbacteria
#ACA500,Nanoarchaeota
#702310,Patescibacteria
#6E8F01,Planctomycetes
#563609,Spirochaetes
#A94E35,Unclassified
#1C3414,Zixibacteria
