genus,phylum,class,order,family
Bacteria,Unknown,Unknown,Unknown,Unknown
Deltaproteobacteria,Proteobacteria,Deltaproteobacteria,Unknown,Unknown
Methanobrevibacter,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae
Lachnospiraceae,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae
Vulcanisaeta,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae
Deltaproteobacteria,Proteobacteria,Deltaproteobacteria,Unknown,Unknown
Ignicoccus,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae
Deltaproteobacteria,Proteobacteria,Deltaproteobacteria,Unknown,Unknown
Thermofilum,Crenarchaeota,Thermoprotei,Thermoproteales,Thermofilaceae
Clostridia,Firmicutes,Clostridia,Unknown,Unknown
Mesobacillus,Firmicutes,Bacilli,Bacillales,Bacillaceae
Cloacimonas,Candidatus Cloacimonetes,Unknown,Unknown,Unknown
Pyrococcus,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae
Lacrimispora,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae
Lacrimispora,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae
Gammaproteobacteria,Proteobacteria,Gammaproteobacteria,Unknown,Unknown
Caldivirga,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae
Methanothrix,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanotrichaceae
Methanosaeta,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanotrichaceae
Methanosarcina,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae
Brocadia,Planctomycetes,Candidatus Brocadiae,Candidatus Brocadiales,Candidatus Brocadiaceae
Gammaproteobacteria,Proteobacteria,Gammaproteobacteria,Unknown,Unknown
Lachnospiraceae,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae
Methanosphaerula,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae
Pseudoleptotrichia,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae
Methanothermus,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanothermaceae
Lachnospiraceae,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae
Lachnospiraceae,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae
Methylophilales,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Unknown
Nitrosomonadales,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Unknown
Burkholderiales,Proteobacteria,Betaproteobacteria,Burkholderiales,Unknown
Burkholderiaceae,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae
Lachnospiraceae,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae
Methanolacinia,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae
Jettenia,Planctomycetes,Candidatus Brocadiae,Candidatus Brocadiales,Candidatus Brocadiaceae
Thermococcus,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae
Deltaproteobacteria,Proteobacteria,Deltaproteobacteria,Unknown,Unknown
Clostridium,Firmicutes,Clostridia,Clostridiales,Clostridiaceae
Methanococcoides,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae
Firmicutes,Firmicutes,Unknown,Unknown,Unknown
Korarchaeum,Candidatus Korarchaeota,Unknown,Unknown,Unknown
Archaeoglobus,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae
Lachnospiraceae,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae
Methanococcoides,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae
Methanothrix,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanotrichaceae
Methanococcus,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae
Korarchaeum,Candidatus Korarchaeota,Unknown,Unknown,Unknown
Nitrosarchaeum,Thaumarchaeota,Unknown,Nitrosopumilales,Nitrosopumilaceae
Firmicutes,Firmicutes,Unknown,Unknown,Unknown
Lachnospiraceae,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae
Bacillales,Firmicutes,Bacilli,Bacillales,Unknown
Solibacter,Acidobacteria,Acidobacteriia,Bryobacterales,Solibacteraceae
Alkalihalobacillus,Firmicutes,Bacilli,Bacillales,Bacillaceae
Deltaproteobacteria,Proteobacteria,Deltaproteobacteria,Unknown,Unknown
Porphyromonadaceae,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae
Clostridium,Firmicutes,Clostridia,Clostridiales,Clostridiaceae
Aciduliprofundum,Euryarchaeota,Unknown,Unknown,Unknown
Clostridium,Firmicutes,Clostridia,Clostridiales,Clostridiaceae
Clostridiales,Firmicutes,Clostridia,Clostridiales,Unknown
Betaproteobacteria,Proteobacteria,Betaproteobacteria,Unknown,Unknown
Lachnospiraceae,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae
Methanococcus,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae
Actinobacteria,Actinobacteria,Actinobacteria,Unknown,Unknown
Jettenia,Planctomycetes,Candidatus Brocadiae,Candidatus Brocadiales,Candidatus Brocadiaceae
