Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
A0A1Y4NJ42_9FIRM	A0A1Y4NJ42_9FIRM	809	SPASM	-	68	6.2e-08	44.1	1.4	1	1	9.2e-12	6.2e-08	44.055534362793	1.35	1	68	652	711	652	711	0.83	Glycosyl transferase family 1		0
A0A1Y4BBV7_9FIRM	A0A1Y4BBV7_9FIRM	813	SPASM	-	68	1.2e-07	43.2	2.4	1	1	1.7e-11	1.2e-07	43.172737121582	2.36	1	68	665	724	665	724	0.84	Glycosyl transferase family 1		0
A0A1T1AU21_RHOFE	A0A1T1AU21_RHOFE	781	SPASM	-	68	5.3e-07	41.1	0.1	1	1	9.4e-10	6.3e-06	37.6268157958984	0.33	1	68	709	774	709	774	0.78	Radical SAM protein		0
A0A328WRK6_9FLAO	A0A328WRK6_9FLAO	767	SPASM	-	68	8.4e-06	37.2	0.6	1	1	1.2e-09	8.4e-06	37.2393989562988	0.58	1	68	697	762	697	762	0.83	Glycosyltransferase involved in cell wall biosynthesis		0
A0A368P165_9FLAO	A0A368P165_9FLAO	765	SPASM	-	68	1.1e-05	36.9	0.4	1	1	5.3e-09	3.6e-05	35.2113800048828	0.43	1	67	695	759	695	760	0.83	Glycosyltransferase		0
A0A2G5KRW0_9FLAO	A0A2G5KRW0_9FLAO	765	SPASM	-	68	2.0e-05	36.0	0.5	1	1	9.0e-09	6.1e-05	34.4779319763184	0.48	1	67	695	759	695	760	0.85	Uncharacterized protein		0
D0LN28_HALO1	D0LN28_HALO1	782	SPASM	-	68	2.4e-05	35.8	0.1	1	1	9.5e-09	6.4e-05	34.399242401123	0.14	1	68	709	774	709	774	0.77	Glycosyl transferase group 1		0
A0A2Z4FPV7_9DELT	A0A2Z4FPV7_9DELT	782	SPASM	-	68	3.0e-05	35.4	0.5	1	1	1.3e-08	9.0e-05	33.9297370910645	0.53	1	68	709	774	709	774	0.80	Radical SAM protein		0
V8C9T8_9HELI	V8C9T8_9HELI	727	SPASM	-	68	0.00012	33.5	0.6	1	1	1.8e-08	0.00012	33.4999313354492	0.64	1	67	659	723	659	724	0.84	Uncharacterized protein		0
A0A2L0ESL8_SORCE	A0A2L0ESL8_SORCE	782	SPASM	-	68	0.0012	30.4	0.1	1	1	4.9e-07	0.0033	28.9049186706543	0.13	1	68	709	774	709	774	0.78	Glycosyl transferase family 1		0
M9WQT1_9RICK	M9WQT1_9RICK	749	SPASM	-	68	0.0029	29.1	0.1	1	1	1.6e-06	0.011	27.2706813812256	0.09	1	46	703	748	703	749	0.83	Glycosyl transferase, group 1 / radical SAM family protein		0
