Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
A0A496AW78_9BACT	A0A496AW78_9BACT	436	SPASM	-	68	2.9e-07	41.9	0.5	1	1	1.3e-10	9.0e-07	40.3356246948242	0.49	5	68	266	326	259	326	0.87	Anaerobic sulfatase maturase		0
B8FL41_DESAL	B8FL41_DESAL	395	SPASM	-	68	4.5e-07	41.3	0.2	1	1	2.1e-10	1.4e-06	39.7340507507324	0.17	4	67	255	314	249	315	0.87	Radical SAM domain-containing protein		0
C6BRH3_DESAD	C6BRH3_DESAD	414	SPASM	-	68	5.4e-07	41.0	1.9	1	1	3.0e-10	2.0e-06	39.2111854553223	1.93	5	67	266	324	259	325	0.88	Radical SAM domain protein		0
A0A0C5WVI3_9GAMM	A0A0C5WVI3_9GAMM	431	SPASM	-	68	5.1e-06	37.9	0.6	1	1	1.8e-09	1.2e-05	36.6828842163086	0.63	4	67	278	338	272	339	0.84	Putative arylsulfatase-activating protein aslB		0
A6DM03_9BACT	A6DM03_9BACT	410	SPASM	-	68	4.4e-05	34.9	0.4	1	1	1.5e-08	0.0001	33.7422866821289	0.43	4	68	263	324	257	324	0.85	Arylsulfatase regulator		0
A0A0E3NVS0_9EURY	A0A0E3NVS0_9EURY	453	SPASM	-	68	5.4e-05	34.6	0.3	1	1	2.6e-08	0.00018	32.991096496582	0.34	7	68	277	335	268	335	0.89	Putative arylsulfatase regulatory protein		0
G8MIG8_9BURK	G8MIG8_9BURK	455	SPASM	-	68	8.1e-05	34.1	0.0	1	1	2.9e-08	0.0002	32.8350372314453	0.04	9	67	292	347	281	348	0.89	Putative transcriptional regulator		0
Q8TML0_METAC	Q8TML0_METAC	446	SPASM	-	68	0.00015	33.2	0.2	1	1	5.3e-08	0.00036	32.0099563598633	0.17	6	68	275	334	267	334	0.85	Arylsulfatase regulator		0
A0A0F6W198_9DELT	A0A0F6W198_9DELT	442	SPASM	-	68	0.00018	33.0	0.1	1	1	6.3e-08	0.00043	31.7611255645752	0.11	4	68	290	351	284	351	0.86	Putative arylsulfatase regulatory protein		0
D1Z146_METPS	D1Z146_METPS	422	SPASM	-	68	0.00023	32.6	0.2	1	1	8.4e-08	0.00057	31.375072479248	0.16	5	67	273	331	266	332	0.85	Arylsulfatase regulator		0
A0A0E3SK46_METBA	A0A0E3SK46_METBA	437	SPASM	-	68	0.0016	30.0	0.6	1	1	6.8e-07	0.0046	28.4603252410889	0.40	6	68	276	335	268	335	0.84	Putative arylsulfatase regulatory protein		0
A0A0C5W1R0_9GAMM	A0A0C5W1R0_9GAMM	436	SPASM	-	68	0.0022	29.5	0.4	1	1	9.6e-07	0.0065	27.9810028076172	0.40	5	68	281	341	274	341	0.84	Putative arylsulfatase-activating protein aslB		0
