Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
A0LK87_SYNFM	A0LK87_SYNFM	402	SPASM	-	68	3.3e-08	44.9	0.5	1	1	1.4e-11	9.5e-08	43.464900970459	0.54	4	67	258	317	252	318	0.84	Radical SAM domain protein		0
A0A1I5Y526_9FIRM	A0A1I5Y526_9FIRM	418	SPASM	-	68	4.9e-08	44.4	3.3	1	1	1.8e-11	1.2e-07	43.1236343383789	3.26	5	67	260	318	253	319	0.88	Uncharacterized protein		0
E4RNB0_HALHG	E4RNB0_HALHG	413	SPASM	-	68	3.0e-07	41.9	0.9	1	1	1.1e-10	7.6e-07	40.5726928710938	0.88	5	68	263	323	256	323	0.87	Radical SAM domain protein		0
A0A1H0VMW2_9DELT	A0A1H0VMW2_9DELT	448	SPASM	-	68	1.3e-06	39.8	0.2	1	1	6.6e-10	4.5e-06	38.106071472168	0.18	5	68	293	353	286	353	0.84	Uncharacterized protein		0
G7WPK8_METH6	G7WPK8_METH6	458	SPASM	-	68	2.7e-06	38.8	0.1	1	1	9.9e-10	6.7e-06	37.5551872253418	0.11	4	68	271	332	265	332	0.85	Anaerobic sulfatase-maturating enzyme		0
A0A090RU18_9VIBR	A0A090RU18_9VIBR	437	SPASM	-	68	3.2e-06	38.6	0.2	1	1	1.3e-09	8.8e-06	37.169075012207	0.20	5	68	284	344	277	344	0.84	Putative arylsulfatase regulatory protein		0
A0A4V1G850_9ENTR	A0A4V1G850_9ENTR	429	SPASM	-	68	6.6e-06	37.6	0.4	1	1	4.2e-09	2.9e-05	35.5324287414551	0.22	5	68	277	337	270	337	0.84	Anaerobic sulfatase maturase		0
A0A4P6P994_9BACT	A0A4P6P994_9BACT	458	SPASM	-	68	7.7e-06	37.4	0.2	1	1	2.9e-09	2.0e-05	36.0628890991211	0.20	5	68	289	349	282	349	0.85	Anaerobic sulfatase maturase		0
A0A3A5FQJ8_9DELT	A0A3A5FQJ8_9DELT	452	SPASM	-	68	8.4e-06	37.2	0.0	1	1	3.0e-09	2.0e-05	36.0099334716797	0.04	5	68	288	348	281	348	0.88	Anaerobic sulfatase maturase		0
A0A0G3EGF5_9BACT	A0A0G3EGF5_9BACT	452	SPASM	-	68	1.2e-05	36.7	1.1	1	1	4.7e-09	3.2e-05	35.3828468322754	0.09	5	68	292	352	285	352	0.87	Anaerobic sulfatase-maturating enzyme		0
