Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
A0A0S4LEQ1_9BACT	A0A0S4LEQ1_9BACT	646	SPASM	-	68	7.6e-10	50.2	1.2	1	1	3.3e-13	2.2e-09	48.6938400268555	0.59	1	68	10	79	10	79	0.82	Elp3 domain-containing protein		0
Q2WBC5_MAGSA	Q2WBC5_MAGSA	400	SPASM	-	68	4.1e-09	47.8	1.7	1	1	1.8e-12	1.2e-08	46.3526306152344	1.68	1	68	6	70	6	70	0.85	Predicted Fe-S oxidoreductase		0
V6F7C1_MAGGM	V6F7C1_MAGGM	442	SPASM	-	68	1.2e-08	46.4	0.9	1	1	3.8e-12	2.6e-08	45.2838478088379	0.92	1	67	16	80	16	81	0.80	Uncharacterized protein		0
B8FKA8_DESAL	B8FKA8_DESAL	368	SPASM	-	68	9.7e-08	43.4	0.6	1	1	4.4e-11	3.0e-07	41.8744888305664	0.27	1	65	13	75	13	80	0.82	Radical SAM domain protein		0
E1X1N4_HALMS	E1X1N4_HALMS	420	SPASM	-	68	1.5e-07	42.9	0.4	1	1	6.1e-11	4.1e-07	41.4367637634277	0.35	1	67	28	91	28	92	0.83	Putative Radical SAM domain protein		0
A0A126T6R3_9GAMM	A0A126T6R3_9GAMM	371	SPASM	-	68	2.4e-07	42.2	1.3	1	1	1.1e-10	7.3e-07	40.6288414001465	1.29	1	67	15	78	15	79	0.81	Uncharacterized protein		0
G3ISZ7_METTV	G3ISZ7_METTV	371	SPASM	-	68	2.5e-07	42.1	0.6	1	1	3.7e-11	2.5e-07	42.1382255554199	0.60	1	67	15	78	15	79	0.80	Radical SAM domain protein		0
A0A1C7GLW2_9FIRM	A0A1C7GLW2_9FIRM	466	SPASM	-	68	1.5e-06	39.6	1.3	1	1	8.4e-10	5.7e-06	37.7714309692383	1.30	1	67	4	66	4	71	0.78	Uncharacterized protein		0
A0A3R9N7S2_9RHOB	A0A3R9N7S2_9RHOB	462	SPASM	-	68	2.2e-06	39.1	0.2	1	1	6.6e-10	4.5e-06	38.1074104309082	0.22	1	67	121	185	121	186	0.88	Radical SAM protein		0
A0A3A9EWS5_9FIRM	A0A3A9EWS5_9FIRM	462	SPASM	-	68	3.4e-06	38.5	1.0	1	1	5.0e-10	3.4e-06	38.5019035339355	0.99	1	67	4	66	4	70	0.80	Radical SAM protein		0
A0A1Y6C5Y9_9PROT	A0A1Y6C5Y9_9PROT	332	SPASM	-	68	3.5e-06	38.5	0.3	1	1	2.0e-09	1.4e-05	36.5600280761719	0.32	1	65	7	65	7	74	0.89	Cyclic pyranopterin phosphate synthase		0
A0A239L9A5_9RHOB	A0A239L9A5_9RHOB	472	SPASM	-	68	7.8e-05	34.1	1.2	1	1	1.9e-08	0.00013	33.4584846496582	0.16	1	67	141	205	141	206	0.87	Iron-sulfur cluster-binding domain-containing protein		0
A0A1I6DLF4_9RHOB	A0A1I6DLF4_9RHOB	473	SPASM	-	68	0.00012	33.5	0.3	1	1	4.3e-08	0.00029	32.2965240478516	0.07	1	67	37	110	37	111	0.79	Iron-sulfur cluster-binding domain-containing protein		0
Q3A3I1_PELCD	Q3A3I1_PELCD	344	SPASM	-	68	0.00024	32.6	0.9	1	1	8.6e-08	0.00058	31.3408298492432	0.89	1	67	8	72	8	73	0.85	Radical SAM domain iron-sulfur cluster-binding oxidoreductase		0
A0A143PV39_9BACT	A0A143PV39_9BACT	453	SPASM	-	68	0.00034	32.1	0.4	1	1	1.1e-07	0.00077	30.9473037719727	0.44	1	68	12	76	12	76	0.87	Molybdenum cofactor biosynthesis protein A		0
R9K293_9FIRM	R9K293_9FIRM	470	SPASM	-	68	0.00067	31.1	0.8	1	1	1.0e-07	0.00067	31.1343936920166	0.79	1	67	4	69	4	70	0.80	Uncharacterized protein		0
S0J9C0_9FIRM	S0J9C0_9FIRM	460	SPASM	-	68	0.0015	30.0	0.1	1	1	6.5e-07	0.0044	28.5272388458252	0.14	1	67	4	67	4	68	0.83	Uncharacterized protein		0
A0A0F6VZ08_9DELT	A0A0F6VZ08_9DELT	644	SPASM	-	68	0.0025	29.3	0.2	1	1	1.2e-06	0.0082	27.6639766693115	0.24	1	55	285	336	285	352	0.77	Radical SAM domain protein		0
A0A212Q2Z2_RHOAC	A0A212Q2Z2_RHOAC	490	SPASM	-	68	0.0034	28.9	0.3	1	1	2.3e-06	0.015	26.781457901001	0.11	1	65	155	215	155	220	0.85	Iron-sulfur cluster-binding domain-containing protein		0
A0A0U1NLA7_9RHOB	A0A0U1NLA7_9RHOB	454	SPASM	-	68	0.0073	27.8	1.0	1	1	4.4e-06	0.03	25.8750228881836	0.39	1	68	54	116	54	116	0.82	Putative heme d1 biosynthesis radical SAM protein NirJ2		0
