Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
A0A257L6Y9_9BACT	A0A257L6Y9_9BACT	339	SPASM	-	68	1.3e-13	62.2	1.4	1	1	4.6e-17	3.1e-13	61.0484161376953	1.41	1	68	266	332	266	332	0.89	Radical SAM protein		0
F3ZYZ7_MAHA5	F3ZYZ7_MAHA5	313	SPASM	-	68	7.2e-13	59.9	2.0	1	1	3.9e-16	2.7e-12	58.0546379089355	1.57	1	68	247	313	247	313	0.89	Radical SAM domain protein		0
B0VEZ0_CLOAI	B0VEZ0_CLOAI	344	SPASM	-	68	2.3e-11	55.0	5.6	1	1	8.0e-15	5.4e-11	53.8657646179199	5.63	1	67	254	319	254	320	0.89	Putative tungsten-containing aldehyde ferredoxin oxidoreductase cofactor modifying protein (Cmo)		0
E3GYI2_METFV	E3GYI2_METFV	282	SPASM	-	68	5.6e-10	50.6	0.6	1	1	1.9e-13	1.3e-09	49.4903717041016	0.63	1	67	221	280	221	281	0.90	Radical SAM domain protein		0
Q7N1V1_PHOLL	Q7N1V1_PHOLL	282	SPASM	-	68	9.1e-10	49.9	5.2	1	1	2.6e-13	1.8e-09	49.0133476257324	2.22	1	68	213	278	213	278	0.93	Uncharacterized protein		0
A0A1I5F4C4_9FIRM	A0A1I5F4C4_9FIRM	369	SPASM	-	68	1.4e-09	49.4	0.7	1	1	6.0e-13	4.1e-09	47.8550186157227	0.73	5	68	266	325	259	325	0.88	Uncharacterized protein		0
A0A396KMD6_9FIRM	A0A396KMD6_9FIRM	361	SPASM	-	68	1.2e-08	46.3	2.4	1	1	4.6e-12	3.1e-08	45.0274200439453	2.39	5	68	260	319	253	319	0.89	Radical SAM protein		0
A0A2V2MXJ1_9EURY	A0A2V2MXJ1_9EURY	344	SPASM	-	68	1.3e-08	46.3	1.9	1	1	7.0e-12	4.7e-08	44.4404640197754	1.94	1	68	253	320	253	320	0.85	Uncharacterized protein		0
W4V6R4_9FIRM	W4V6R4_9FIRM	247	SPASM	-	68	1.5e-08	46.0	3.8	1	1	2.2e-12	1.5e-08	46.0229301452637	3.83	1	68	166	233	166	233	0.87	BtrN protein		0
A0A249SPZ5_9BACT	A0A249SPZ5_9BACT	390	SPASM	-	68	2.9e-08	45.1	0.2	1	1	9.6e-12	6.5e-08	44.000846862793	0.21	1	68	321	383	321	383	0.87	Radical SAM protein		0
D1AYU7_STRM9	D1AYU7_STRM9	370	SPASM	-	68	4.8e-08	44.4	6.5	1	1	1.2e-11	8.1e-08	43.6840705871582	1.15	5	68	266	325	259	325	0.85	Radical SAM domain protein		0
A0A286U462_9BACT	A0A286U462_9BACT	337	SPASM	-	68	7.5e-08	43.8	3.2	1	1	3.6e-11	2.4e-07	42.1618919372559	3.18	1	68	255	322	255	322	0.88	Fe-S oxidoreductase		0
