fixselect,tax_1,tax_2,tax_3,tax_4,tax_5,tax_6,tax_7,tax_8,tax_bar,names(parsr),nam_1,nam_2,nam_3,nam_4,nam_5,nam_6,nam_7,nam_8,tax_fill
009263843_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Coprococcus_PFAM,009263843,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,PFAM,NA,Firmicutes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
036846860_Bacteroidetes_Bacteroidia_Bacteroidales_Porphyromonadaceae_Porphyromonas_PFAM,036846860,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,PFAM,NA,Bacteroidetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteroidetes
007221132_Planctomycetes_Candidatus_Brocadiae_PVC_group_NA_Jettenia_PFAM,007221132,Planctomycetes,Candidatus,Brocadiae,PVC,group,"NA",Jettenia_PFAM,Planctomycetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Planctomycetes
067192957_Firmicutes_Bacilli_Lactobacillales_Streptococcaceae_Streptococcus_PFAM,067192957,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,PFAM,NA,Firmicutes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
013757571_Spirochaetes_Spirochaetia_Spirochaetales_Spirochaetaceae_Treponema_PFAM,013757571,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,PFAM,NA,Spirochaetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spirochaetes
013317436_Proteobacteria_Gammaproteobacteria_Enterobacterales_Pectobacteriaceae_Dickeya_PFAM,013317436,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Dickeya,PFAM,NA,Gammaproteobacteria,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gammaproteobacteria
004346456_Bacteroidetes_Bacteroidia_Bacteroidales_Prevotellaceae_Prevotella_PFAM,004346456,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,PFAM,NA,Bacteroidetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bacteroidetes
066630481_Firmicutes_Clostridiaceae_Clostridiales_Clostridiaceae_Clostridium_PFAM,066630481,Firmicutes,Clostridiaceae,Clostridiales,Clostridiaceae,Clostridium,PFAM,NA,Firmicutes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
004053823_Firmicutes_Clostridia_Clostridiales_Eubacteriaceae_Eubacterium_PFAM,004053823,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,PFAM,NA,Firmicutes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
013702110_Spirochaetes_Spirochaetia_Spirochaetales_Spirochaetaceae_Treponema_PFAM,013702110,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,PFAM,NA,Spirochaetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Spirochaetes
037384771_Proteobacteria_Gammaproteobacteria_Enterobacterales_Yersiniaceae_Serratia_PFAM,037384771,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,PFAM,NA,Gammaproteobacteria,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gammaproteobacteria
014016010_Firmicutes_Negativicutes_Veillonellales_Veillonellaceae_Megasphaera_PFAM,014016010,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,PFAM,NA,Firmicutes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
072967548_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Caminicella_PFAM,072967548,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Caminicella,PFAM,NA,Firmicutes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
KQC03482_Unknown_Unknown_Unknown_Unknown_Methanoculleus_BLAST,KQC03482,Unknown,Unknown,Unknown,Unknown,Methanoculleus,BLAST,NA,Methanoculleus,NA,NA,NA,NA,NA,NA,NA,NA,NA,Methanoculleus
015279527_Proteobacteria_Gammaproteobacteria_Chromatiales_Chromatiaceae_Thioflavicoccus_PFAM,015279527,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Thioflavicoccus,PFAM,NA,Gammaproteobacteria,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gammaproteobacteria
PIR08446_Unknown_Unknown_Unknown_Unknown_Candidatus_BLAST,PIR08446,Unknown,Unknown,Unknown,Unknown,Candidatus,BLAST,NA,Candidatus,PIR08446.1 hypothetical protein COV53_02970 [Candidatus Gottesmanbacteria bacterium CG11_big_fil_rev_8_21_14_0_20_37_11],PIR08446.1,hypothetical,protein,COV53_02970,[Candidatus,Gottesmanbacteria,bacterium,CG11_big_fil_rev_8_21_14_0_20_37_11],NA
RLE39368_Unknown_Unknown_Unknown_Unknown_Candidatus_BLAST,RLE39368,Unknown,Unknown,Unknown,Unknown,Candidatus,BLAST,NA,Candidatus,RLE39368.1 hypothetical protein DRJ17_01445 [Candidatus Woesearchaeota archaeon],RLE39368.1,hypothetical,protein,DRJ17_01445,[Candidatus,Woesearchaeota,archaeon],NA,NA
KUK84259_Unknown_Unknown_Unknown_Unknown_Microgenomates_BLAST,KUK84259,Unknown,Unknown,Unknown,Unknown,Microgenomates,BLAST,NA,Microgenomates,NA,NA,NA,NA,NA,NA,NA,NA,NA,Microgenomates
OGY26443_Unknown_Unknown_Unknown_Unknown_Candidatus_BLAST,OGY26443,Unknown,Unknown,Unknown,Unknown,Candidatus,BLAST,NA,Candidatus,OGY26443.1 hypothetical protein A2Z24_00315 [Candidatus Woykebacteria bacterium RBG_16_44_10],OGY26443.1,hypothetical,protein,A2Z24_00315,[Candidatus,Woykebacteria,bacterium,RBG_16_44_10],NA
072301032_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Ruminococcus_PFAM,072301032,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,PFAM,NA,Firmicutes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
012798918_Actinobacteria_Coriobacteriia_Eggerthellales_Eggerthellaceae_Slackia_PFAM,012798918,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Slackia,PFAM,NA,Actinobacteria,NA,NA,NA,NA,NA,NA,NA,NA,NA,Actinobacteria
SCW48993_Unknown_Unknown_Unknown_Unknown_Ruminococcaceae_BLAST,SCW48993,Unknown,Unknown,Unknown,Unknown,Ruminococcaceae,BLAST,NA,Ruminococcaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ruminococcaceae
SMC72247_Unknown_Unknown_Unknown_Unknown_Ruminococcaceae_BLAST,SMC72247,Unknown,Unknown,Unknown,Unknown,Ruminococcaceae,BLAST,NA,Ruminococcaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ruminococcaceae
035633578_Firmicutes_Clostridia_Lachnospiraceae_NA_Lachnospiraceae_PFAM,035633578,Firmicutes,Clostridia,Lachnospiraceae,"NA",Lachnospiraceae,PFAM,NA,Firmicutes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
013282565_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Butyrivibrio_PFAM,013282565,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio,PFAM,NA,Firmicutes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
071175149_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Butyrivibrio_PFAM,071175149,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio,PFAM,NA,Firmicutes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Firmicutes
OPY26167_Unknown_Unknown_Unknown_Unknown_Methanocella_BLAST,OPY26167,Unknown,Unknown,Unknown,Unknown,Methanocella,BLAST,NA,Methanocella,NA,NA,NA,NA,NA,NA,NA,NA,NA,Methanocella
TET34152_Unknown_Unknown_Unknown_Unknown_Planctomycetes_BLAST,TET34152,Unknown,Unknown,Unknown,Unknown,Planctomycetes,BLAST,NA,Planctomycetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Planctomycetes
PKN47973_Unknown_Unknown_Unknown_Unknown_Deltaproteobacteria_BLAST,PKN47973,Unknown,Unknown,Unknown,Unknown,Deltaproteobacteria,BLAST,NA,Deltaproteobacteria,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deltaproteobacteria
