"","dendcut","dendcut10","dendcut11","dendcut12","dendcut13","dendcut14","dendcut15","dendcut16","dendcut17","dendcut18","dendcut19","dendcut20","dendcut21","dendcut22","dendcut23"
"WP_036276979_Proteobacteria_Gammaproteobacteria_Methylococcales_Methylococcaceae_Methylomonas_PFAM",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"AFS60637_Candidatus_Tectomicrobia_Candidatus_Tectomicrobia_Candidatus_Tectomicrobia_NA_Entotheonella_PoyB",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"AFS60638_Candidatus_Tectomicrobia_Candidatus_Tectomicrobia_Candidatus_Tectomicrobia_NA_Entotheonella_PoyC",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"WP_026741561_Proteobacteria_Gammaproteobacteria_Enterobacterales_Pectobacteriaceae_Lonsdalea_PFAM",2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
"WP_048180828_Euryarchaeota_Euryarchaeota_Methanosarcinales_NA_Methanosarcina_PFAM",2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
"WP_015402405_Proteobacteria_Deltaproteobacteria_Desulfobacterales_Desulfobulbaceae_Desulfocapsa_PFAM",2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
"WP_004072383_Proteobacteria_Deltaproteobacteria_Desulfobacterales_Desulfobacteraceae_Desulfobacter_PFAM",2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
"WP_015850420_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfovibrio_PFAM",2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
"WP_011342439_Proteobacteria_Deltaproteobacteria_Desulfuromonadales_Desulfuromonadaceae_Pelobacter_PFAM",2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
"WP_014261554_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfovibrionaceae_Desulfocurvibacter_PFAM",2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
"WP_008870826_Proteobacteria_Deltaproteobacteria_Desulfovibrionales_Desulfohalobiaceae_Desulfonatronospira_PFAM",2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
"WP_007293412_Proteobacteria_Deltaproteobacteria_Proteobacteria_NA_Deltaproteobacteria_PFAM",2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
"WP_013163357_Proteobacteria_Deltaproteobacteria_Desulfobacterales_Desulfobulbaceae_Desulfurivibrio_PFAM",2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
"WP_007222097_Planctomycetes_Candidatus_Brocadiales_Candidatus_Brocadiae_NA_Jettenia_PFAM",2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
"WP_004511797_Proteobacteria_Deltaproteobacteria_Desulfuromonadales_Geobacteraceae_Geobacter_PFAM",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_051869376_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Kineothrix_PFAM",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_013655150_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Cellulosilyticum_PFAM",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_036941006_Firmicutes_Clostridia_Clostridiales_Hungateiclostridiaceae_Pseudobacteroides_PFAM",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_012741307_Firmicutes_NA_NA_NA_Clostridia_PFAM",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_095989616_Proteobacteria_Deltaproteobacteria_Myxococcales_Archangiaceae_Cystobacter_characterized",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_044192718_Proteobacteria_Deltaproteobacteria_Myxococcales_Archangiaceae_Hyalangium_PFAM",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_006969608_Proteobacteria_Deltaproteobacteria_Myxococcales_Nannocystaceae_Plesiocystis_PFAM",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_068184797_Proteobacteria_Alphaproteobacteria_Rhizobiales_Chelatococcaceae_Chelatococcus_characterized",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_015929579_Proteobacteria_Alphaproteobacteria_Rhizobiales_Methylobacteriaceae_Methylobacterium_characterized",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_013652855_Proteobacteria_Alphaproteobacteria_No_order_No_family_Polymorphum_characterized",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_095080450_Proteobacteria_Alphaproteobacteria_Rhizobiales_Phyllobacteriaceae_Mesorhizobium_MesX",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_011604154_Actinobacteria_Actinobacteria_Frankiales_Frankiaceae_Frankia_characterized",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_010607032_Proteobacteria_Gammaproteobacteria_Alteromonadales_Pseudoalteromonadaceae_Pseudoalteromonas_characterized",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_010383055_Proteobacteria_Gammaproteobacteria_Alteromonadales_Pseudoalteromonadaceae_Pseudoalteromonas_characterized",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_100215558_Proteobacteria_Gammaproteobacteria_Alteromonadales_Pseudoalteromonadaceae_Pseudoalteromonas_characterized",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"ASD68799_Proteobacteria_Gammaproteobacteria_Alteromonadales_Pseudoalteromonadaceae_Pseudoalteromonas_PspX2",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_134053402_Proteobacteria_Gammaproteobacteria_Chromatiales_Chromatiaceae_Rheinheimera_characterized",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_002708735_Proteobacteria_Gammaproteobacteria_Thiotrichales_Thiotrichaceae_Thiothrix_characterized",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_019503880_Cyanobacteria_No_class_Pleurocapsales_Hyellaceae_Pleurocapsa_characterized",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_015143117_Cyanobacteria_No_class_Pleurocapsales_Hyellaceae_Pleurocapsa_PcpX",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_095987964_Proteobacteria_Deltaproteobacteria_Myxococcales_Archangiaceae_Cystobacter_characterized",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_095990905_Proteobacteria_Deltaproteobacteria_Myxococcales_Archangiaceae_Cystobacter_characterized",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_064716224_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Flavobacterium_PFAM",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_039111774_Bacteroidetes_Flavobacteriia_Flavobacteriales_Flavobacteriaceae_Flavobacterium_PFAM",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_009894165_Proteobacteria_Betaproteobacteria_Burkholderiales_Burkholderiaceae_Burkholderia_characterized",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_011001666_Proteobacteria_Betaproteobacteria_Burkholderiales_Burkholderiaceae_Ralstonia_PFAM",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_123583584_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas_characterized",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
"WP_048414465_Proteobacteria_Betaproteobacteria_Neisseriales_Chromobacteriaceae_Chromobacterium_PFAM",2,2,3,3,3,3,3,3,4,4,4,4,4,4,4
