Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
A0A0F2ISJ5_9BACT	A0A0F2ISJ5_9BACT	404	SPASM	-	68	1.2e-07	43.1	0.5	1	1	4.2e-11	2.8e-07	41.9544906616211	0.45	1	59	241	300	241	309	0.73	Coenzyme PQQ biosynthesis protein E		0
W4M2T5_9BACT	W4M2T5_9BACT	474	SPASM	-	68	7.1e-07	40.7	1.6	1	1	2.4e-10	1.6e-06	39.5256958007812	1.60	1	67	293	351	293	361	0.80	Uncharacterized protein		0
A0A0S4LDK6_9BACT	A0A0S4LDK6_9BACT	461	SPASM	-	68	2.7e-06	38.8	0.7	1	1	8.1e-10	5.5e-06	37.8242416381836	0.73	1	68	293	352	293	361	0.82	Putative Radical SAM superfamily protein, Coenzyme PQQ synthesis protein E		0
A0A1W1I4M1_9BACT	A0A1W1I4M1_9BACT	461	SPASM	-	68	9.3e-06	37.1	0.8	1	1	2.9e-09	2.0e-05	36.0626068115234	0.76	1	68	295	354	295	363	0.82	Putative Radical SAM superfamily protein, Coenzyme PQQ synthesis protein E		0
A0A330L209_9BACT	A0A330L209_9BACT	467	SPASM	-	68	1.1e-05	36.9	0.9	1	1	3.2e-09	2.2e-05	35.906551361084	0.89	1	68	295	354	295	363	0.82	Putative Radical SAM superfamily protein, Coenzyme PQQ synthesis protein E		0
A0A143PVG5_9BACT	A0A143PVG5_9BACT	475	SPASM	-	68	1.2e-05	36.7	0.3	1	1	4.1e-09	2.8e-05	35.5639419555664	0.25	1	68	283	343	283	351	0.82	Antilisterial bacteriocin subtilosin biosynthesis protein AlbA		0
D8PAS6_9BACT	D8PAS6_9BACT	467	SPASM	-	68	1.3e-05	36.6	0.7	1	1	3.9e-09	2.6e-05	35.6491203308105	0.71	1	68	295	354	295	363	0.82	Radical SAM superfamily protein, putative Coenzyme PQQ synthesis protein E		0
A0A0K2G7K8_NITMO	A0A0K2G7K8_NITMO	460	SPASM	-	68	1.7e-05	36.3	0.8	1	1	5.1e-09	3.4e-05	35.2811241149902	0.78	1	68	294	353	294	362	0.80	Putative Radical SAM superfamily protein, Coenzyme PQQ synthesis protein E		0
A0A0S4KXG0_9BACT	A0A0S4KXG0_9BACT	454	SPASM	-	68	4.5e-05	34.9	0.9	1	1	1.4e-08	9.6e-05	33.8498039245605	0.91	1	68	288	347	288	356	0.83	Putative Radical SAM superfamily protein, Coenzyme PQQ synthesis protein E		0
A0A125NXQ6_9BACT	A0A125NXQ6_9BACT	407	SPASM	-	68	5.2e-05	34.7	1.0	1	1	1.7e-08	0.00012	33.5795707702637	0.97	1	68	246	305	246	314	0.78	Heme d1 biosynthesis radical SAM protein NirJ2		0
A0A0S4L8R8_9BACT	A0A0S4L8R8_9BACT	459	SPASM	-	68	5.3e-05	34.7	0.8	1	1	1.6e-08	0.00011	33.6602973937988	0.78	1	68	293	352	293	361	0.80	Putative Radical SAM superfamily protein, Coenzyme PQQ synthesis protein E		0
A0A3P3VQY7_9GAMM	A0A3P3VQY7_9GAMM	416	SPASM	-	68	0.0011	30.5	1.3	1	1	3.8e-07	0.0026	29.2581996917725	1.30	1	68	251	310	251	319	0.79	Radical SAM protein		0
A0A1H6FE58_9GAMM	A0A1H6FE58_9GAMM	419	SPASM	-	68	0.0026	29.2	1.3	1	1	1.2e-06	0.0081	27.6830959320068	1.05	1	67	255	313	255	323	0.76	Antilisterial bacteriocin subtilosin biosynthesis protein AlbA		0
A0A496AZT4_9BACT	A0A496AZT4_9BACT	433	SPASM	-	68	0.0031	29.0	3.5	1	1	1.2e-06	0.0079	27.7012996673584	3.48	1	67	259	318	259	328	0.77	Radical SAM domain protein, coenzyme PQQ synthesis protein E		0
