"","dendcut10"
"WP_076712609_Aquificae_Aquificae_Desulfurobacteriales_Desulfurobacteriaceae_Desulfurobacterium_PFAM",1
"WP_011021323_Euryarchaeota_Methanomicrobia_Methanosarcinaceae_NA_Methanosarcina_PFAM",1
"WP_055972194_Proteobacteria_Alphaproteobacteria_Rhizobiales_Phyllobacteriaceae_Aminobacter_PFAM",1
"WP_044347702_Proteobacteria_Deltaproteobacteria_Desulfarculales_Desulfarculaceae_Dethiosulfatarculus_PFAM",1
"WP_036276979_Proteobacteria_Gammaproteobacteria_Methylococcales_Methylococcaceae_Methylomonas_PFAM",1
"WP_041972095_Proteobacteria_Deltaproteobacteria_Desulfuromonadales_Geobacteraceae_Geobacter_PFAM",1
"WP_007195735_Proteobacteria_Gammaproteobacteria_Chromatiales_Chromatiaceae_Thiocapsa_PFAM",2
"WP_035164766_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Caloranaerobacter_PFAM",2
"WP_014809540_Proteobacteria_Deltaproteobacteria_Syntrophobacterales_Syntrophaceae_Desulfomonile_PFAM",2
"WP_006424739_Proteobacteria_Proteobacteria_NA_NA_Deltaproteobacteria_PFAM",2
"KYK32125_Unknown_Unknown_Unknown_Unknown_Theionarchaea_BLAST",2
"WP_048098531_Crenarchaeota_Thermoprotei_Sulfolobales_Sulfolobaceae_Acidianus_PFAM",3
"WP_073836494_Actinobacteria_Actinobacteria_Micromonosporales_Micromonosporaceae_Micromonospora_PFAM",3
"WP_004067201_Euryarchaeota_Euryarchaeota_Thermococcaceae_NA_Thermococcus_PFAM",3
"WP_013336991_Crenarchaeota_Thermoproteaceae_Thermoproteales_NA_Vulcanisaeta_PFAM",3
"WP_015232599_Crenarchaeota_Thermoprotei_Acidilobales_Caldisphaeraceae_Caldisphaera_PFAM",3
"WP_012873301_Chloroflexi_Thermomicrobia_Sphaerobacterales_Sphaerobacteraceae_Sphaerobacter_PFAM",4
"WP_043724469_Actinobacteria_Actinobacteria_Pseudonocardiales_Pseudonocardiaceae_Kutzneria_PFAM",4
